# epsilon,alpha,num_oracle_queries
1.000000000000000021e-03,1.000000000000000021e-02,9.050000000000000000e+04
1.000000000000000021e-03,2.000000000000000042e-02,2.170000000000000000e+04
1.000000000000000021e-03,2.999999999999999889e-02,2.990000000000000000e+04
1.000000000000000021e-03,4.000000000000000083e-02,2.170000000000000000e+04
1.000000000000000021e-03,5.000000000000000278e-02,2.810000000000000000e+04
2.000000000000000042e-03,1.000000000000000021e-02,2.240000000000000000e+04
2.000000000000000042e-03,2.000000000000000042e-02,2.180000000000000000e+04
2.000000000000000042e-03,2.999999999999999889e-02,3.010000000000000000e+04
2.000000000000000042e-03,4.000000000000000083e-02,2.960000000000000000e+04
2.000000000000000042e-03,5.000000000000000278e-02,3.870000000000000000e+04
3.000000000000000062e-03,1.000000000000000021e-02,2.790000000000000000e+04
3.000000000000000062e-03,2.000000000000000042e-02,2.940000000000000000e+04
3.000000000000000062e-03,2.999999999999999889e-02,2.320000000000000000e+04
3.000000000000000062e-03,4.000000000000000083e-02,7.200000000000000000e+03
3.000000000000000062e-03,5.000000000000000278e-02,9.700000000000000000e+03
4.000000000000000083e-03,1.000000000000000021e-02,7.300000000000000000e+03
4.000000000000000083e-03,2.000000000000000042e-02,2.280000000000000000e+04
4.000000000000000083e-03,2.999999999999999889e-02,7.300000000000000000e+03
4.000000000000000083e-03,4.000000000000000083e-02,7.000000000000000000e+03
4.000000000000000083e-03,5.000000000000000278e-02,7.400000000000000000e+03
5.000000000000000104e-03,1.000000000000000021e-02,7.300000000000000000e+03
5.000000000000000104e-03,2.000000000000000042e-02,7.000000000000000000e+03
5.000000000000000104e-03,2.999999999999999889e-02,7.300000000000000000e+03
5.000000000000000104e-03,4.000000000000000083e-02,8.700000000000000000e+03
5.000000000000000104e-03,5.000000000000000278e-02,6.600000000000000000e+03
6.000000000000000125e-03,1.000000000000000021e-02,5.400000000000000000e+03
6.000000000000000125e-03,2.000000000000000042e-02,7.100000000000000000e+03
6.000000000000000125e-03,2.999999999999999889e-02,5.300000000000000000e+03
6.000000000000000125e-03,4.000000000000000083e-02,7.200000000000000000e+03
6.000000000000000125e-03,5.000000000000000278e-02,8.100000000000000000e+03
7.000000000000000146e-03,1.000000000000000021e-02,7.400000000000000000e+03
7.000000000000000146e-03,2.000000000000000042e-02,8.600000000000000000e+03
7.000000000000000146e-03,2.999999999999999889e-02,7.200000000000000000e+03
7.000000000000000146e-03,4.000000000000000083e-02,6.600000000000000000e+03
7.000000000000000146e-03,5.000000000000000278e-02,6.300000000000000000e+03
8.000000000000000167e-03,1.000000000000000021e-02,7.500000000000000000e+03
8.000000000000000167e-03,2.000000000000000042e-02,7.000000000000000000e+03
8.000000000000000167e-03,2.999999999999999889e-02,7.200000000000000000e+03
8.000000000000000167e-03,4.000000000000000083e-02,6.300000000000000000e+03
8.000000000000000167e-03,5.000000000000000278e-02,7.000000000000000000e+03
9.000000000000001055e-03,1.000000000000000021e-02,7.200000000000000000e+03
9.000000000000001055e-03,2.000000000000000042e-02,6.400000000000000000e+03
9.000000000000001055e-03,2.999999999999999889e-02,6.800000000000000000e+03
9.000000000000001055e-03,4.000000000000000083e-02,6.500000000000000000e+03
9.000000000000001055e-03,5.000000000000000278e-02,6.600000000000000000e+03
1.000000000000000021e-02,1.000000000000000021e-02,7.400000000000000000e+03
1.000000000000000021e-02,2.000000000000000042e-02,5.600000000000000000e+03
1.000000000000000021e-02,2.999999999999999889e-02,8.300000000000000000e+03
1.000000000000000021e-02,4.000000000000000083e-02,2.300000000000000000e+03
1.000000000000000021e-02,5.000000000000000278e-02,2.200000000000000000e+03
