(0, 0, '000', '000', '100', '0 == 0')
(0, 1, '000', '001', '001', '0 < 1')
(0, 2, '000', '010', '001', '0 < 2')
(0, 3, '000', '011', '001', '0 < 3')
(1, 0, '001', '000', '010', '1 > 0')
(1, 1, '001', '001', '100', '1 == 1')
(1, 2, '001', '010', '001', '1 < 2')
(1, 3, '001', '011', '001', '1 < 3')
(2, 0, '010', '000', '010', '2 > 0')
(2, 1, '010', '001', '010', '2 > 1')
(2, 2, '010', '010', '100', '2 == 2')
(2, 3, '010', '011', '001', '2 < 3')
(3, 0, '011', '000', '010', '3 > 0')
(3, 1, '011', '001', '010', '3 > 1')
(3, 2, '011', '010', '010', '3 > 2')
(3, 3, '011', '011', '100', '3 == 3')
(4, 4, '100', '100', '100', '4 == 4')
(4, 5, '100', '101', '001', '4 < 5')
(4, 6, '100', '110', '001', '4 < 6')
(4, 7, '100', '111', '001', '4 < 7')
(5, 4, '101', '100', '010', '5 > 4')
(5, 5, '101', '101', '100', '5 == 5')
(5, 6, '101', '110', '001', '5 < 6')
(5, 7, '101', '111', '001', '5 < 7')
(6, 4, '110', '100', '010', '6 > 4')
(6, 5, '110', '101', '010', '6 > 5')
(6, 6, '110', '110', '100', '6 == 6')
(6, 7, '110', '111', '001', '6 < 7')
(7, 4, '111', '100', '010', '7 > 4')
(7, 5, '111', '101', '010', '7 > 5')
(7, 6, '111', '110', '010', '7 > 6')
(7, 7, '111', '111', '100', '7 == 7')
