(0, 4, '000', '100', '010', '0 > 4')
(0, 5, '000', '101', '010', '0 > 5')
(0, 6, '000', '110', '010', '0 > 6')
(0, 7, '000', '111', '010', '0 > 7')
(1, 4, '001', '100', '010', '1 > 4')
(1, 5, '001', '101', '010', '1 > 5')
(1, 6, '001', '110', '010', '1 > 6')
(1, 7, '001', '111', '010', '1 > 7')
(2, 4, '010', '100', '010', '2 > 4')
(2, 5, '010', '101', '010', '2 > 5')
(2, 6, '010', '110', '010', '2 > 6')
(2, 7, '010', '111', '010', '2 > 7')
(3, 4, '011', '100', '010', '3 > 4')
(3, 5, '011', '101', '010', '3 > 5')
(3, 6, '011', '110', '010', '3 > 6')
(3, 7, '011', '111', '010', '3 > 7')
(4, 0, '100', '000', '001', '4 < 0')
(4, 1, '100', '001', '001', '4 < 1')
(4, 2, '100', '010', '001', '4 < 2')
(4, 3, '100', '011', '001', '4 < 3')
(5, 0, '101', '000', '001', '5 < 0')
(5, 1, '101', '001', '001', '5 < 1')
(5, 2, '101', '010', '001', '5 < 2')
(5, 3, '101', '011', '001', '5 < 3')
(6, 0, '110', '000', '001', '6 < 0')
(6, 1, '110', '001', '001', '6 < 1')
(6, 2, '110', '010', '001', '6 < 2')
(6, 3, '110', '011', '001', '6 < 3')
(7, 0, '111', '000', '001', '7 < 0')
(7, 1, '111', '001', '001', '7 < 1')
(7, 2, '111', '010', '001', '7 < 2')
(7, 3, '111', '011', '001', '7 < 3')
